"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1280","Empty Cart - Initial State","chromium-auth","2026-08-23","passed","2026-08-23","Empty Cart","CartEmptyTest.spec.ts","",""
"","1297","should get the signup page if email and password correct","chromium-unauth","2026-08-23","passed","2026-08-23","New User Signup!-Positive Tests","RegisterTest.spec.ts","",""
"","3348","Authenticate and Seed Database","setup","2026-08-23","passed","2026-08-23","","global.setup.ts","",""
"","6651","Payment - - Invalid Year format(number)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","2003","should get the subcategory correct Women Saree","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","114","PUT To All Brands List","chromium-unauth","2026-08-23","passed","2026-08-23","products","ProductsApi.spec.ts","",""
"","366","POST To Verify Login with invalid details","chromium-unauth","2026-08-23","passed","2026-08-23","login test","LoginApiTest.spec.ts","",""
"","5035","Cart - Add Multiple Products","chromium-auth","2026-08-23","passed","2026-08-23","Add to Cart Integration","ProductsUI.spec.ts","",""
"","1000","Products Page - Basic Rendering","chromium-unauth","2026-08-23","passed","2026-08-23","Products Test Cases","ProductsUI.spec.ts","",""
"","5467","Payment - HTML Validation - Empty name field","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings","PaymentTest.spec.ts","",""
"","3745","Checkout - Direct URL Access Without Login with button","chromium-unauth","2026-08-23","passed","2026-08-23","EDGE CASES","checkoutTest.spec.ts","",""
"","467","2. Mocking Product List - Empty Product Displayed","chromium-unauth","2026-08-23","passed","2026-08-23","API & Route Intercepting Tests","ApiMockingTest.spec.ts","",""
"","6615","Payment - - Invalid EXP format(number)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","1521","Search - Invalid / Non-Existing Product","chromium-unauth","2026-08-23","passed","2026-08-23","Search Functionality Tests","ProductsUI.spec.ts","",""
"","6604","Payment - - Invalid CVC format(string)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","4964","Checkout - Empty Cart Does NOT Block Order (Site Allows Zero-Item Checkout)","chromium-auth","2026-08-23","passed","2026-08-23","EDGE CASES","checkoutTest.spec.ts","",""
"","6612","Payment - - long card number","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","2388","should allow account creation regardless of password length 3","chromium-unauth","2026-08-23","passed","2026-08-23","Positive Tests","AccountInfoTest.spec.ts","",""
"","2992","Cart - Continue Shopping working","chromium-auth","2026-08-23","passed","2026-08-23","Add to Cart Integration","ProductsUI.spec.ts","",""
"","1214","should get error if email exist","chromium-unauth","2026-08-23","passed","2026-08-23","New User Signup!-Negative Tests","RegisterTest.spec.ts","",""
"","4553","Review Order - Product Count Matches","chromium-auth","2026-08-23","passed","2026-08-23","Review Order - Data Integrity","checkoutTest.spec.ts","",""
"","2274","should get the subcategory correct Women Tops","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","6581","Payment - - All information correct","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","1636","should get category correct Men","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","1428","Search - Empty Query","chromium-unauth","2026-08-23","passed","2026-08-23","Search Functionality Tests","ProductsUI.spec.ts","",""
"","1329","API chaining - Register user then get user details","chromium-unauth","2026-08-23","passed","2026-08-23","","UserApiChaining.spec.ts","",""
"","1161","Search - Valid Product Name","chromium-unauth","2026-08-23","passed","2026-08-23","Search Functionality Tests","ProductsUI.spec.ts","",""
"","5400","Payment - HTML Validation - Empty exp field","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings","PaymentTest.spec.ts","",""
"","3300","Cart - View cart working","chromium-auth","2026-08-23","passed","2026-08-23","Add to Cart Integration","ProductsUI.spec.ts","",""
"","935","Brands - Verify Brand Name are Valid String","chromium-unauth","2026-08-23","passed","2026-08-23","Brands Filter Tests","ProductsUI.spec.ts","",""
"","124","Get All Brands List","chromium-unauth","2026-08-23","passed","2026-08-23","products","ProductsApi.spec.ts","",""
"","3423","Proceed to Checkout - Authenticated User","chromium-auth","2026-08-23","passed","2026-08-23","Checkout Integration","CartTest.spec.ts","",""
"","363","GET user account detail by email","chromium-unauth","2026-08-23","passed","2026-08-23","Delete","UserApiTest.spec.ts","",""
"","332","DELETE METHOD To Delete User Account","chromium-unauth","2026-08-23","passed","2026-08-23","Delete","UserApiTest.spec.ts","",""
"","1107","should get category correct Kids","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","2764","should get the subcategory correct Men Tshirts","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","6765","Order Confirmation - Download Invoice Button Visible","chromium-auth","2026-08-23","passed","2026-08-23","Order Confirmation Tests","OrderConfirmation.spec.ts","",""
"","7041","Order Confirmation - Cart Is Empty After Successful Order","chromium-auth","2026-08-23","passed","2026-08-23","Order Confirmation Tests","OrderConfirmation.spec.ts","",""
"","5442","Payment - HTML Validation - Empty card number field","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings","PaymentTest.spec.ts","",""
"","5201","Cart Table Structure Verification","chromium-auth","2026-08-23","passed","2026-08-23","Cart Tests > UI & Layout Tests","CartTest.spec.ts","",""
"","6499","Payment - - Invalid Card Number Format(string)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
